City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barisal,BD,22.7019,90.3711,82.76,81,24,6.11
1,Albany,US,42.6001,-73.9662,52.74,91,12,4.14
2,Bluff,NZ,-46.6,168.3333,47.8,61,95,21.59
3,San Juan Bautista,PE,-14.0108,-75.7358,65.07,59,0,1.23
4,San Patricio,US,28.017,-97.5169,78.84,57,7,8.41
5,Mlimba,TZ,-8.8,35.8167,66.92,75,35,2.15
6,Cape Town,ZA,-33.9258,18.4232,61.38,77,20,6.91
7,Mataura,NZ,-46.1927,168.8643,47.48,91,73,10.65
8,Qaanaaq,GL,77.484,-69.3632,5.25,70,35,7.92
9,Ushuaia,AR,-54.8,-68.3,38.86,93,100,29.93
10,Arraial Do Cabo,BR,-22.9661,-42.0278,69.08,85,100,12.93
11,Labuhan,ID,-6.8844,112.2051,83.88,68,75,8.34
12,Punta Arenas,CL,-53.15,-70.9167,44.71,76,0,12.66
13,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.36,87,100,3.44
14,Svetlogorsk,BY,52.6333,29.7333,45.39,95,98,6.8
15,Tekeli,KZ,44.83,78.8239,49.42,37,0,6.11
16,Bethel,US,41.3712,-73.414,59.54,89,100,4.0
17,Adrar,MR,20.5022,-10.0711,87.08,16,1,9.91
18,Westport,US,41.1415,-73.3579,61.56,88,100,20.71
19,New Norfolk,AU,-42.7826,147.0587,58.91,61,100,11.65
20,Norfolk,US,42.1668,-71.2495,58.96,97,100,0.0
21,Cayenne,GF,4.9333,-52.3333,78.84,89,0,3.44
22,Lebu,CL,-37.6167,-73.65,50.88,91,100,10.92
23,Salihorsk,BY,52.7876,27.5415,45.01,93,99,7.58
24,Pilar,BR,-9.5972,-35.9567,71.53,96,19,3.53
25,Pevek,RU,69.7008,170.3133,31.8,95,100,9.8
26,Rikitea,PF,-23.1203,-134.9692,69.94,59,71,20.24
27,Vaini,TO,-21.2,-175.2,76.6,83,100,8.68
28,Cabo San Lucas,MX,22.8909,-109.9124,83.52,66,69,3.0
29,Lorengau,PG,-2.0226,147.2712,85.5,71,73,12.5
30,Fare,PF,-16.7,-151.0167,77.72,75,0,25.57
31,Atuona,PF,-9.8,-139.0333,76.91,77,1,18.14
32,Yellowknife,CA,62.456,-114.3525,37.92,75,40,15.01
33,Galle,LK,6.0367,80.217,78.55,85,100,15.19
34,Butaritari,KI,3.0707,172.7902,82.31,72,8,13.71
35,Basarabeasca,MD,46.3311,28.9728,55.08,53,100,5.21
36,Lagoa,PT,39.05,-27.9833,69.03,86,97,17.58
